id,value
Department of Agriculture,142
Department of Commerce,255
Department of Defense,131
Department of Education,47
Department of Energy,43
Department of Health and Human Services,206
Department of Homeland Security,241
Department of Housing and Urban Development,15
Department of Justice,39
Department of Labor,126
Department of State,52
Department of Transportation,226
Department of Veterans Affairs,192
Department of the Interior,39
Department of the Treasury,107
Environmental Protection Agency,26
General Services Administration,70
National Aeronautics and Space Administration,20
National Archives and Records Administration,22
National Science Foundation,14
Nuclear Regulatory Commission,53
Office of Personnel Management,26
Small Business Administration,21
Social Security Administration,108
U.S. Agency for International Development,15
U.S. Army Corps of Engineers,21
