Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Spent Days,Project Status,Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Schedule Status,Cost Variance ($ M),Financial Status,Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
005-000001723,212,429,Nuclear Regulatory Commission,AMS Infrastructure WAN and DMZ (AMSWAN),657,,Virtualization,Program Areas will migrate their data over to the agencys virtual servers and shut down their current server.,2011-01-10T00:00:00Z,2012-03-31T00:00:00Z,445,Completed,2012-03-31T00:00:00Z,2012-03-31T00:00:00Z,0.179,-153,-84.07,Under schedule,0,Balanced budget,0,0.179,0.179,2011-11-30T00:00:00Z,6:09:57,2
005-000001723,212,429,Nuclear Regulatory Commission,AMS Infrastructure WAN and DMZ (AMSWAN),658,,Refresh,Programs Areas will replace 1/3 of their computers which have an expired warranty.,2012-01-04T00:00:00Z,2012-09-30T00:00:00Z,269,Completed,,,1.46,0,0,Balanced schedule,0,Balanced budget,0,1.46,1.46,2011-10-28T00:00:00Z,5:50:19,3
005-000001729,226,5,Department of Agriculture,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",1684,,AGxEDCx,Improve FAS information technology (IT) infrastructure and security by restructuring and transitioning FAS information technology services to management by the Office of the Chief Information Officer (OCIO).,2011-07-20T00:00:00Z,2012-07-19T00:00:00Z,365,Completed,,,7.276,-92,-37.86,Under schedule,0,Balanced budget,0,7.276,7.276,2011-12-28T00:00:00Z,9:29:28,1
005-000001729,226,429,Nuclear Regulatory Commission,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",1685,,O&M,Provide IT infrstrucutre and computing platform.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,16.248,0,0,Balanced schedule,0,Balanced budget,0,16.248,16.248,2011-12-28T00:00:00Z,9:29:28,2
005-000002223,242,429,Nuclear Regulatory Commission,NRM - Natural Resource Manager,1106,,NRM Customer Relations Operations,"This represents the Major Customer Relations Operations that the NRM Staff carry out on an annual basis in support of the NRM Vision and annual program of work including: Account Management, Change Management, Help Desk Operations, Communications, Training, and Leadership activities.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,4.885,0,0,Balanced schedule,0,Balanced budget,0,4.884,4.884,2011-11-30T00:00:00Z,6:10:30,2223-CRO
005-000002223,242,429,Nuclear Regulatory Commission,NRM - Natural Resource Manager,1107,,NRM Data Center Operations,This represents the major Data Center Operations that the NRM staff carry out on an annual basis in support of the NRM business applications and the NRM Steering Commitee approved annual program of work including: Architectural Direction; Data Center Operations (systems & database); Security Operations; Program Management Support; and Leadership Activities.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,7.02,0,0,Balanced schedule,0,Balanced budget,0,7.018,7.018,2011-11-30T00:00:00Z,6:10:30,2223-DCO
005-000002223,242,429,Nuclear Regulatory Commission,NRM - Natural Resource Manager,1112,,FY2011 Year End Reporting,Year end reporting includes rolling over performance reports to the year end section of the Corporate Data Warehouse; the creation of new annual performance reports; rolling over year end reports to the almanac; Feed this year's  performance measures to the USFS Performance Accountability System (PAS).  Initiate next year's Performance measures to PAS.,2011-01-10T00:00:00Z,2011-12-31T00:00:00Z,355,Completed,2011-12-31T00:00:00Z,2012-02-29T00:00:00Z,0.2,-244,-268.13,Under schedule,0,Balanced budget,0,0.2,0.2,2012-03-30T00:00:00Z,7:09:11,2223-YE11
005-000002224,252,429,Nuclear Regulatory Commission,USDA Identity & Access Management,1748,,EEMS IDM Readiness,Implementation of Identity Manager.,2010-03-09T00:00:00Z,2011-10-30T00:00:00Z,599,Completed,2011-10-13T00:00:00Z,2011-10-13T00:00:00Z,0.07,-323,-323,Under schedule,-5.0E-4,Under budget,-0.86,0.058,0.0585,2012-02-07T00:00:00Z,6:27:17,EE-001
005-000002224,252,5,Department of Agriculture,USDA Identity & Access Management,1749,,ePACS: PIV-A,Implementation of solution that meets USDA requirements for short-term employees to have physical and logical access.,2011-01-10T00:00:00Z,2012-07-31T00:00:00Z,567,Completed,2011-12-15T00:00:00Z,2011-12-15T00:00:00Z,0.9,0,0,Balanced schedule,0,Balanced budget,0,0.891,0.891,2012-02-07T00:00:00Z,6:27:17,EP-001
005-000002224,252,429,Nuclear Regulatory Commission,USDA Identity & Access Management,1750,,ePACS: EEMS Integration,Integration of ePACS with EEMS to obtain cardholder identity information from GSA.,2012-01-01T00:00:00Z,2012-03-31T00:00:00Z,89,Completed,,,0.03,-185,-318.97,Under schedule,0,Balanced budget,0,0.03,0.03,2012-02-07T00:00:00Z,6:27:17,EP-002
